Region,R0 (CI),"Rt(April 15th, 2020) (CI)",CAR (week 0) (CI),"CARt(April 15th, 2020) (CI)",IFR (week 0) (CI),"IFRt(April 15th, 2020) (CI)",delta weeks
Qatar,"6.5
(2.1, 23.0)","2.1
(1.0, 6.0)","0.2
(0.04, 0.6)","0.3
(0.06, 0.8)","0.007
(0.001, 0.03)","0.03
(0.006, 0.1)","5
"
Romania,"4.3
(1.9, 9.4)","4.2
(2.0, 9.0)","0.05
(0.01, 0.3)","0.08
(0.02, 0.5)","0.001
(0.0004, 0.008)","0.006
(0.001, 0.03)","5
"
Russia,"1.5
(1.0, 3.6)","3.3
(2.0, 7.0)","0.05
(0.01, 0.4)","0.008
(0.0005, 0.1)","0.003
(0.0006, 0.02)","0.0005
(3e-05, 0.008)","9
"
San Marino,"4.5
(1.7, 15.0)","1.4
(1.0, 4.0)","0.1
(0.02, 0.6)","0.2
(0.04, 0.7)","0.01
(0.002, 0.07)","0.06
(0.01, 0.3)","5
"
Saudi Arabia,"5
(2.0, 15.0)","4.3
(2.0, 10.0)","0.06
(0.02, 0.3)","0.1
(0.02, 0.5)","0.002
(0.0004, 0.009)","0.008
(0.001, 0.04)","5
"
Senegal,"3.2
(1.6, 7.8)","3
(1.0, 7.0)","0.05
(0.01, 0.3)","0.1
(0.02, 0.5)","0.003
(0.0007, 0.02)","0.009
(0.001, 0.05)","5
"
Serbia,"6.3
(2.1, 28.0)","3.2
(1.0, 10.0)","0.1
(0.03, 0.6)","0.2
(0.04, 0.7)","0.008
(0.002, 0.05)","0.03
(0.006, 0.1)","4
"
Singapore,"3
(1.4, 7.7)","1.9
(1.0, 4.0)","0.07
(0.02, 0.4)","0.03
(0.0008, 0.6)","0.002
(0.0005, 0.02)","0.001
(3e-05, 0.04)","11
"
Slovakia,"7.6
(2.3, 29.0)","3
(1.0, 10.0)","0.2
(0.04, 0.7)","0.3
(0.06, 0.8)","0.01
(0.002, 0.05)","0.05
(0.008, 0.2)","4
"
Slovenia,"7.3
(2.4, 27.0)","4.3
(2.0, 10.0)","0.1
(0.03, 0.5)","0.4
(0.07, 0.8)","0.005
(0.001, 0.02)","0.06
(0.01, 0.2)","5
"
Somalia,"3.6
(1.5, 13.0)","3.6
(1.0, 10.0)","0.06
(0.01, 0.5)","0.06
(0.006, 0.5)","0.01
(0.002, 0.09)","0.01
(0.001, 0.1)","1
"
South Africa,"6.1
(2.2, 25.0)","4.9
(2.0, 20.0)","0.09
(0.02, 0.5)","0.2
(0.04, 0.7)","0.005
(0.0009, 0.03)","0.03
(0.005, 0.1)","4
"
Spain,"5.2
(2.3, 11.0)","4.4
(2.0, 9.0)","0.05
(0.02, 0.3)","0.2
(0.04, 0.7)","0.002
(0.0005, 0.009)","0.03
(0.006, 0.1)","6
"
Sri Lanka,"7.3
(2.3, 24.0)","2.5
(1.0, 10.0)","0.2
(0.05, 0.6)","0.4
(0.09, 0.8)","0.01
(0.002, 0.04)","0.07
(0.02, 0.2)","4
"
Sudan,"3.1
(1.2, 13.0)","2.9
(1.0, 10.0)","0.09
(0.02, 1.0)","0.09
(0.01, 1.0)","0.02
(0.002, 0.3)","0.03
(0.002, 0.5)","1
"
Sweden,"5.5
(2.0, 22.0)","2.6
(1.0, 6.0)","0.09
(0.02, 0.5)","0.2
(0.03, 0.6)","0.006
(0.001, 0.03)","0.03
(0.006, 0.1)","6
"
Switzerland,"3.6
(1.7, 8.3)","3.3
(2.0, 7.0)","0.06
(0.01, 0.3)","0.1
(0.02, 0.7)","0.002
(0.0005, 0.01)","0.02
(0.003, 0.09)","6
"
Syria,"3
(1.1, 14.0)","2.4
(0.7, 10.0)","0.1
(0.02, 1.0)","0.2
(0.009, 1.0)","0.03
(0.001, 0.4)","0.07
(-0.003, 0.8)","2
"
Taiwan*,"2
(1.2, 4.6)","0.99
(0.3, 2.0)","0.05
(0.01, 0.4)","0.09
(0.005, 0.5)","0.005
(0.001, 0.04)","0.01
(0.0008, 0.09)","10
"
Tanzania,"2.7
(1.2, 11.0)","2.5
(1.0, 8.0)","0.06
(0.01, 0.6)","0.05
(0.004, 0.6)","0.01
(0.002, 0.1)","0.01
(0.0008, 0.2)","3
"
Thailand,"1.7
(1.1, 3.3)","0.95
(0.4, 2.0)","0.07
(0.02, 1.0)","0.3
(0.0009, 0.7)","0.004
(0.0008, 0.07)","0.02
(6e-05, 0.07)","11
"
Togo,"3.9
(1.4, 14.0)","2.6
(0.9, 10.0)","0.1
(0.02, 0.8)","0.2
(0.02, 0.8)","0.01
(0.002, 0.1)","0.04
(0.004, 0.3)","3
"
Trinidad and Tobago,"5.7
(1.7, 20.0)","4.7
(1.0, 20.0)","0.1
(0.02, 0.6)","0.3
(0.03, 0.9)","0.01
(0.002, 0.09)","0.1
(0.01, 0.4)","3
"
Tunisia,"4.6
(1.7, 18.0)","3.3
(1.0, 10.0)","0.09
(0.02, 0.5)","0.2
(0.03, 0.7)","0.007
(0.001, 0.04)","0.04
(0.005, 0.2)","4
"
Turkey,"10
(3.3, 37.0)","10
(3.0, 40.0)","0.06
(0.01, 0.3)","0.1
(0.03, 0.6)","0.001
(0.0002, 0.005)","0.007
(0.002, 0.03)","3
"
Ukraine,"7.1
(2.4, 32.0)","6.6
(2.0, 30.0)","0.08
(0.02, 0.4)","0.1
(0.03, 0.6)","0.003
(0.0006, 0.02)","0.01
(0.002, 0.05)","3
"
United Arab Emirates,"1.6
(1.1, 3.3)","2.7
(1.0, 6.0)","0.05
(0.01, 0.4)","0.01
(0.001, 0.2)","0.004
(0.0009, 0.04)","0.001
(0.0001, 0.02)","10
"
United Kingdom,"2
(1.1, 5.1)","2.8
(1.0, 7.0)","0.04
(0.01, 0.3)","0.03
(0.001, 0.4)","0.007
(0.002, 0.07)","0.007
(0.0002, 0.1)","9
"
Uruguay,"6.4
(2.0, 23.0)","4.7
(1.0, 20.0)","0.1
(0.03, 0.6)","0.3
(0.05, 0.8)","0.009
(0.001, 0.04)","0.04
(0.006, 0.1)","3
"
Uzbekistan,"4.6
(1.7, 20.0)","3.4
(1.0, 10.0)","0.09
(0.02, 0.6)","0.1
(0.02, 0.6)","0.005
(0.001, 0.04)","0.01
(0.002, 0.08)","3
"
Venezuela,"8.4
(2.6, 28.0)","5
(1.0, 20.0)","0.3
(0.05, 0.7)","0.5
(0.1, 0.9)","0.02
(0.003, 0.06)","0.08
(0.02, 0.2)","3
"
West Bank and Gaza,"3.7
(1.4, 16.0)","1.8
(1.0, 4.0)","0.09
(0.02, 0.7)","0.1
(0.01, 0.7)","0.009
(0.002, 0.07)","0.03
(0.002, 0.2)","5
"
Zambia,"3.6
(1.2, 18.0)","2.2
(0.4, 10.0)","0.1
(0.02, 1.0)","0.2
(0.01, 1.0)","0.03
(0.003, 0.3)","0.1
(0.0003, 0.7)","3
"
Zimbabwe,"3
(1.1, 14.0)","2.3
(0.7, 10.0)","0.1
(0.02, 1.0)","0.2
(0.009, 1.0)","0.03
(0.002, 0.4)","0.07
(-0.005, 0.7)","2
"
